"Protein.Id","Protein.Name","Gene","Entrez_ID","Ensembl_ID","Pathway_ID","Pathway_Name","Enrichment_Score"
"Q61838","PZP_MOUSE","Pzp",11287,"ENSMUSG00000030359",NA,NA,NA
"O88816","SNAT_MOUSE","Aanat",11298,"ENSMUSG00000020804",NA,NA,NA
"P41233","ABCA1_MOUSE","Abca1",11303,"ENSMUSG00000015243","mmu05417","Lipid and atherosclerosis",0.0270152505446623
"P41233","ABCA1_MOUSE","Abca1",11303,"ENSMUSG00000015243","mmu02010","ABC transporters",0.00668119099491649
"P41233","ABCA1_MOUSE","Abca1",11303,"ENSMUSG00000015243","mmu04979","Cholesterol metabolism",0.00682643427741467
"P41233","ABCA1_MOUSE","Abca1",11303,"ENSMUSG00000015243","mmu04148","Efferocytosis",0.0207697893972404
"O35600","ABCA4_MOUSE","Abca4",11304,"ENSMUSG00000028125","mmu02010","ABC transporters",0.00668119099491649
"Q61102","ABCB7_MOUSE","Abcb7",11306,"ENSMUSG00000031333","mmu02010","ABC transporters",0.00668119099491649
"Q64343","ABCG1_MOUSE","Abcg1",11307,"ENSMUSG00000024030","mmu05417","Lipid and atherosclerosis",0.0270152505446623
"Q64343","ABCG1_MOUSE","Abcg1",11307,"ENSMUSG00000024030","mmu02010","ABC transporters",0.00668119099491649
"Q8CBW3","ABI1_MOUSE","Abi1",11308,"ENSMUSG00000058835","mmu05132","Salmonella infection",0.0323892519970951
"P00520","ABL1_MOUSE","Abl1",11350,"ENSMUSG00000026842","mmu04360","Axon guidance",0.0233841684822077
"P00520","ABL1_MOUSE","Abl1",11350,"ENSMUSG00000026842","mmu05208","Chemical carcinogenesis - reactive oxygen species",0.0300653594771242
"P00520","ABL1_MOUSE","Abl1",11350,"ENSMUSG00000026842","mmu05220","Chronic myeloid leukemia",0.00987654320987654
"P00520","ABL1_MOUSE","Abl1",11350,"ENSMUSG00000026842","mmu04722","Neurotrophin signaling pathway",0.0153957879448076
"P00520","ABL1_MOUSE","Abl1",11350,"ENSMUSG00000026842","mmu04110","Cell cycle",0.0207697893972404
"P00520","ABL1_MOUSE","Abl1",11350,"ENSMUSG00000026842","mmu04014","Ras signaling pathway",0.0293391430646333
"P00520","ABL1_MOUSE","Abl1",11350,"ENSMUSG00000026842","mmu04012","ErbB signaling pathway",0.0113289760348584
"P45952","ACADM_MOUSE","Acadm",11364,"ENSMUSG00000062908","mmu04936","Alcoholic liver disease",0.0180101670297749
"P45952","ACADM_MOUSE","Acadm",11364,"ENSMUSG00000062908","mmu01212","Fatty acid metabolism",0.00827886710239651
"P45952","ACADM_MOUSE","Acadm",11364,"ENSMUSG00000062908","mmu03320","PPAR signaling pathway",0.0111837327523602
"P45952","ACADM_MOUSE","Acadm",11364,"ENSMUSG00000062908","mmu00071","Fatty acid degradation",0.0065359477124183
"P50544","ACADV_MOUSE","Acadvl",11370,"ENSMUSG00000018574","mmu01212","Fatty acid metabolism",0.00827886710239651
"P50544","ACADV_MOUSE","Acadvl",11370,"ENSMUSG00000018574","mmu00071","Fatty acid degradation",0.0065359477124183
"P50544","ACADV_MOUSE","Acadvl",11370,"ENSMUSG00000018574","mmu04936","Alcoholic liver disease",0.0180101670297749
"Q07417","ACADS_MOUSE","Acads",11409,"ENSMUSG00000029545","mmu01200","Carbon metabolism",0.0152505446623094
"Q07417","ACADS_MOUSE","Acads",11409,"ENSMUSG00000029545","mmu00071","Fatty acid degradation",0.0065359477124183
"Q07417","ACADS_MOUSE","Acads",11409,"ENSMUSG00000029545","mmu00650","Butanoate metabolism",0.00363108206245461
"Q07417","ACADS_MOUSE","Acads",11409,"ENSMUSG00000029545","mmu00640","Propanoate metabolism",0.00421205519244735
"Q07417","ACADS_MOUSE","Acads",11409,"ENSMUSG00000029545","mmu00410","beta-Alanine metabolism",0.00421205519244735
"Q07417","ACADS_MOUSE","Acads",11409,"ENSMUSG00000029545","mmu01212","Fatty acid metabolism",0.00827886710239651
"Q99J27","ACATN_MOUSE","Slc33a1",11416,"ENSMUSG00000027822",NA,NA,NA
"Q925H0","ASIC2_MOUSE","Asic2",11418,"ENSMUSG00000020704","mmu04750","Inflammatory mediator regulation of TRP channels",0.0153957879448076
