"Protein.Id","Protein.Name","Gene","Entrez_ID","Ensembl_ID"
"A0A087WPF7","AUTS2_MOUSE","Auts2",319974,"ENSMUSG00000029673"
"A0A087WRU1","RDIC1_MOUSE","Redic1",545126,"ENSMUSG00000078932"
"A0A088MLT8","IQIP1_MOUSE","Iqcj-Schip1",100505386,"ENSMUSG00000102422"
"A0A0A6YXX9","CTSEL_MOUSE","Catspere2",545391,"ENSMUSG00000091476"
"A0A0A6YY25","BTBDI_MOUSE","Btbd18",100270744,"ENSMUSG00000086598"
"A0A0B4J1F4","ARRD4_MOUSE","Arrdc4",66412,"ENSMUSG00000042659"
"A0A0B4J1G0","FCG3A_MOUSE","Fcgr4",246256,"ENSMUSG00000059089"
"A0A0B4J1L0","CEA15_MOUSE","Ceacam15",101434,"ENSMUSG00000078795"
"A0A0B4J1N3","GP15L_MOUSE","Gpr15lg",70045,"ENSMUSG00000096001"
"A0A0G2JEB6","CFA47_MOUSE","Cfap47",636104,"ENSMUSG00000073077"
"A0A0M3U1B0","SYC2L_MOUSE","Sycp2l",637277,"ENSMUSG00000038651"
"A0A0U1RPR8","GUC2D_MOUSE","Gucy2d",14918,"ENSMUSG00000074003"
"A0A0U1RQ45","TM275_MOUSE","Tmem275",76237,"ENSMUSG00000034185"
"A0A140LHF2","VSXL2_MOUSE","Vsig10l2",115487164,"ENSMUSG00000098590"
"A0A140LHV9","SIM27_MOUSE","Smim27",100504309,"ENSMUSG00000028407"
"A0A140LI67","FRPD2_MOUSE","Frmpd2",268729,"ENSMUSG00000108841"
"A0A140LIA7","CT204_MOUSE","Gm29797",101056205,"ENSMUSG00000108976"
"A0A140LIF8","IRGM2_MOUSE","Irgm2",54396,"ENSMUSG00000069874"
"A0A140LIJ0","DCST2_MOUSE","Dcst2",329702,"ENSMUSG00000109293"
"A0A140LIT1","CC194_MOUSE","Ccdc194",619297,"ENSMUSG00000108900"
"A0A1B0GQX2","TUNAR_MOUSE","Tunar",69952,"ENSMUSG00000097929"
"A0A1B0GQX3","CTXD2_MOUSE","Ctxnd2",67654,"ENSMUSG00000105734"
"A0A1B0GRQ0","SIM36_MOUSE","Smim36",121811722,"ENSMUSG00000110344"
"A0A1B0GSN8","SRTM2_MOUSE","SERTM2",319764,"ENSMUSG00000085139"
"A0A1B0GST9","CTXD1_MOUSE","Ctxnd1",100039239,"ENSMUSG00000097789"
"A0A1B0GSZ0","SPAR_MOUSE","Spaar",71406,"ENSMUSG00000028475"
"A0A1L1SUL6","TXND6_MOUSE","Nme9",69797,"ENSMUSG00000046242"
"A0A1W2P872","NOVA2_MOUSE","Nova2",384569,"ENSMUSG00000030411"
"A0A1W2P884","CE85L_MOUSE","Cep85l",100038725,"ENSMUSG00000038594"
"A0A286YD83","SIM43_MOUSE","Smim43",100503068,"ENSMUSG00000085007"
"A0A286YDK6","PERC1_MOUSE","Percc1",102643076,"ENSMUSG00000114245"
"A0A286YEC0","CIROP_MOUSE","Cirop",101056084,"ENSMUSG00000114865"
"A0A2R8VHF7","TM249_MOUSE","Tmem249",666504,"ENSMUSG00000116376"
"A0A338P6K9","QSER1_MOUSE","Qser1",99003,"ENSMUSG00000074994"
"A0A494BA31","B3A4_MOUSE","Slc4a9",240215,"ENSMUSG00000024485"
"A0A571BF63","ANKF1_MOUSE","Ankfn1",382543,"ENSMUSG00000047773"
"A0A5F8MPE6","CX058_MOUSE","",631145,"ENSMUSG00000118554"
"A0A5F8MPU3","CTSRT_MOUSE","C2cd6",73463,"ENSMUSG00000072295"
"A0A5K7RLP0","MEIOS_MOUSE","Meiosin",243866,"ENSMUSG00000085601"
"A0A6I8MX38","TUG1_MOUSE","Tug1",544752,"ENSMUSG00000056579"
"A0A7N9VSG0","AFG2B_MOUSE","Afg2b",214616,"ENSMUSG00000118663"
"A0A804C8T0","HAPR2_MOUSE","Hapstr2",279618,"ENSMUSG00000082226"
"A0JLY1","CF210_MOUSE","Cfap210",75051,"ENSMUSG00000070883"
"A0JNT9","BICL1_MOUSE","Bicdl1",75665,"ENSMUSG00000041609"
"A0JNU3","LPP60_MOUSE","Aspg",104816,"ENSMUSG00000037686"
"A0JP43","EFCB5_MOUSE","Efcab5",319634,"ENSMUSG00000050944"
"A0PK84","ZDH22_MOUSE","Zdhhc22",238331,"ENSMUSG00000048483"
"A1A535","MELT_MOUSE","Veph1",72789,"ENSMUSG00000027831"
"A1A546","ISX_MOUSE","Isx",71597,"ENSMUSG00000031621"
"A1A547","PGRP3_MOUSE","Pglyrp3",242100,"ENSMUSG00000042244"
"A1A5B6","TBC25_MOUSE","Tbc1d25",209815,"ENSMUSG00000039201"
"A1E960","ODAM_MOUSE","Odam",69592,"ENSMUSG00000009580"
"A1IGU4","ARH37_MOUSE","Arhgef37",328967,"ENSMUSG00000045094"
"A1L0T3","SRB4D_MOUSE","Ssc4d",109267,"ENSMUSG00000029699"
"A1L317","K1C24_MOUSE","Krt24",75706,"ENSMUSG00000020913"
"A1L3C1","GAR5A_MOUSE","Garin5a",75538,"ENSMUSG00000051113"
"A1L3P4","SL9A6_MOUSE","Slc9a6",236794,"ENSMUSG00000060681"
"A1L3T7","RIPR3_MOUSE","Ripor3",69553,"ENSMUSG00000074577"
"A1Y9I9","TOMT_MOUSE","Tomt",791260,"ENSMUSG00000078630"
"A1YIY0","FCRL6_MOUSE","Fcrl6",677296,"ENSMUSG00000070504"
"A1Z198","NL1B2_MOUSE","Nlrp1b",637515,"ENSMUSG00000070390"
"A2A259","PK2L1_MOUSE","Pkd2l1",329064,"ENSMUSG00000037578"
"A2A3V1","AK17B_MOUSE","Akap17b",338351,"ENSMUSG00000059708"
"A2A3V2","S2543_MOUSE","Slc25a43",194744,"ENSMUSG00000037636"
"A2A432","CUL4B_MOUSE","Cul4b",72584,"ENSMUSG00000031095"
"A2A4P0","DHX8_MOUSE","Dhx8",217207,"ENSMUSG00000034931"
"A2A559","PGAP3_MOUSE","Pgap3",320655,"ENSMUSG00000038208"
"A2A591","KRA31_MOUSE","Krtap3-1",69473,"ENSMUSG00000047564"
"A2A5E6","Z385C_MOUSE","Znf385c",278304,"ENSMUSG00000014198"
"A2A5H7","WFD11_MOUSE","Wfdc11",629761,"ENSMUSG00000078940"
"A2A5I3","CRSPL_MOUSE","R3hdml",100043899,"ENSMUSG00000078949"
"A2A5K6","ZN335_MOUSE","Znf335",329559,"ENSMUSG00000039834"
"A2A5N8","LMBL1_MOUSE","L3mbtl1",241764,"ENSMUSG00000035576"
"A2A5R2","BIG2_MOUSE","Arfgef2",99371,"ENSMUSG00000074582"
"A2A5X4","KR291_MOUSE","Krtap29-1",100462664,"ENSMUSG00000078254"
"A2A5X5","KR161_MOUSE","Krtap16-1",100504183,"ENSMUSG00000078253"
"A2A5Z6","SMUF2_MOUSE","Smurf2",66313,"ENSMUSG00000018363"
